Latitude,Longitude,DoY,res_id,cluster_id
42.0443,-87.6988,111,18,1
41.6651,-83.5753,114,18,1
40.4427,-86.9237,116,18,1
42.0443,-87.6988,118,18,1
41.865,-87.6718,120,18,1
40.4427,-86.9237,130,18,1
40.4427,-86.9237,133,18,1
40.4427,-86.9237,135,18,1
51.516999999999996,7.45,114,18,2
51.05,13.75,118,18,2
48.15,11.583,126,18,2
49.6,11.017000000000001,127,18,2
50.833,4.333,127,18,2
50.833,4.333,128,18,2
40.4427,-86.9237,147,18,3
41.865,-87.6718,148,18,3
40.4427,-86.9237,148,18,3
40.4427,-86.9237,160,18,3
40.4427,-86.9237,163,18,3
40.4427,-86.9237,168,18,3
42.0443,-87.6988,171,18,3
50.833,4.333,168,18,4
48.3,4.083,174,18,4
50.833,4.333,182,18,4
47.367,8.55,186,18,4
47.367,8.55,188,18,4
40.4427,-86.9237,183,18,5
40.4427,-86.9237,198,18,5
40.4427,-86.9237,205,18,5
47.367,8.55,201,18,6
51.45,7.017,204,18,6
